date,longitude,latitude,TreeCover_Percent
2024-03-05,29.43,40.83,7.8
2024-03-05,29.43,40.84,2.425925925925926
2024-03-05,29.43,40.85,1.0465116279069768
2024-03-05,29.43,40.86,3.546666666666667
2024-03-05,29.43,40.87,0.84
2024-03-05,29.43,40.88,0.9393939393939394
2024-03-05,29.43,40.89,1.04
2024-03-05,29.43,40.9,1.7333333333333334
2024-03-05,29.43,40.91,1.3
2024-03-05,29.44,40.75,0.0
2024-03-05,29.44,40.76,0.0
2024-03-05,29.44,40.77,5.0
2024-03-05,29.44,40.78,14.986666666666666
2024-03-05,29.44,40.79,18.386666666666667
2024-03-05,29.44,40.8,20.754716981132077
2024-03-05,29.44,40.81,11.033898305084746
2024-03-05,29.44,40.82,1.24
2024-03-05,29.44,40.83,2.3
2024-03-05,29.44,40.84,6.585714285714285
