date,longitude,latitude,LandCover_Type
2024-01-01,30.277083330569322,41.18958332957311,9
2024-01-01,30.28124999723561,41.18958332957311,9
2024-01-01,30.285416663901895,41.18958332957311,9
2024-01-01,30.28958333056818,41.18958332957311,9
2024-01-01,30.293749997234467,41.18958332957311,2
2024-01-01,30.297916663900754,41.18958332957311,2
2024-01-01,30.30208333056704,41.18958332957311,2
2024-01-01,30.306249997233326,41.18958332957311,2
2024-01-01,30.310416663899613,41.18958332957311,2
2024-01-01,30.3145833305659,41.18958332957311,2
2024-01-01,30.214583330575028,41.18541666290683,17
2024-01-01,30.218749997241314,41.18541666290683,17
2024-01-01,30.2229166639076,41.18541666290683,17
2024-01-01,30.227083330573887,41.18541666290683,11
2024-01-01,30.231249997240173,41.18541666290683,1
2024-01-01,30.23541666390646,41.18541666290683,1
